t	x	y	r
7,461378E0	5,816578E-4	-1,574724E-3	1,678714E-3
7,478033E0	8,485054E-4	-9,712342E-4	1,289673E-3
7,528000E0	1,681262E-3	-1,032405E-3	1,972942E-3
7,544656E0	2,234744E-3	-1,585888E-3	2,740277E-3
7,561311E0	2,603732E-3	-1,954876E-3	3,255912E-3
7,577967E0	3,526203E-3	-1,954876E-3	4,031829E-3
7,594622E0	4,448674E-3	-2,323864E-3	5,019068E-3
7,611278E0	5,002157E-3	-3,246335E-3	5,963242E-3
7,627933E0	4,817662E-3	-2,877347E-3	5,611506E-3
7,644589E0	4,831344E-3	-2,198945E-3	5,308224E-3
7,661244E0	4,960179E-3	-2,006066E-3	5,350484E-3
7,677900E0	4,903218E-3	-1,995905E-3	5,293881E-3
7,694556E0	4,931088E-3	-1,982406E-3	5,314655E-3
7,711211E0	4,901945E-3	-1,999772E-3	5,294162E-3
7,727867E0	4,927365E-3	-1,986086E-3	5,312576E-3
7,744522E0	4,891313E-3	-2,026118E-3	5,294345E-3
7,761178E0	4,932383E-3	-1,973820E-3	5,312661E-3
7,777833E0	4,907658E-3	-2,013644E-3	5,304702E-3
7,794489E0	4,904315E-3	-1,996434E-3	5,295097E-3
7,811144E0	4,915411E-3	-2,013101E-3	5,311671E-3
7,827800E0	4,896907E-3	-2,013633E-3	5,294754E-3
7,844456E0	4,897611E-3	-2,014671E-3	5,295799E-3
7,861111E0	4,923983E-3	-1,985608E-3	5,309261E-3
7,877767E0	4,891301E-3	-2,021784E-3	5,292678E-3
7,894422E0	4,886924E-3	-2,008340E-3	5,283508E-3
7,911078E0	4,933099E-3	-1,986399E-3	5,318012E-3
7,927733E0	4,831438E-3	-2,005716E-3	5,231222E-3
7,944389E0	4,912886E-3	-1,988463E-3	5,300041E-3
7,961044E0	4,897052E-3	-2,016064E-3	5,295813E-3
7,977700E0	4,836287E-3	-2,004829E-3	5,235361E-3
7,994356E0	4,895036E-3	-1,996625E-3	5,286576E-3
8,011011E0	4,899594E-3	-2,011785E-3	5,296536E-3
8,027667E0	4,846245E-3	-2,011162E-3	5,246986E-3
8,044322E0	4,929292E-3	-1,978237E-3	5,311435E-3
8,060978E0	4,864915E-3	-2,033835E-3	5,272939E-3
8,077633E0	4,816682E-3	-2,014065E-3	5,220813E-3
8,094289E0	4,924049E-3	-1,964780E-3	5,301567E-3
8,110944E0	4,845584E-3	-1,994094E-3	5,239857E-3
8,127600E0	4,851252E-3	-1,991502E-3	5,244114E-3
8,144256E0	4,930917E-3	-1,932715E-3	5,296162E-3
8,160911E0	4,830121E-3	-1,994833E-3	5,225842E-3
8,177567E0	4,842653E-3	-1,979092E-3	5,231452E-3
8,194222E0	4,915125E-3	-1,964096E-3	5,293026E-3
8,210878E0	4,765331E-3	-1,999981E-3	5,168008E-3
8,227533E0	4,878257E-3	-1,980043E-3	5,264785E-3
8,244189E0	4,946673E-3	-1,924086E-3	5,307700E-3
8,260844E0	4,669410E-3	-1,983737E-3	5,073323E-3
8,277500E0	4,541601E-3	-1,996066E-3	4,960888E-3
8,294156E0	4,759979E-3	-2,096604E-3	5,201264E-3
8,310811E0	4,372323E-3	-1,908690E-3	4,770777E-3
8,327467E0	4,366995E-3	-1,606127E-3	4,652987E-3
8,344122E0	4,485238E-3	-1,661912E-3	4,783233E-3
8,360778E0	4,152163E-3	-1,529085E-3	4,424766E-3
8,377433E0	4,162288E-3	-1,370297E-3	4,382049E-3
8,394089E0	4,280196E-3	-1,490984E-3	4,532451E-3
8,410744E0	4,222607E-3	-1,544786E-3	4,496307E-3
8,427400E0	4,310796E-3	-1,326819E-3	4,510367E-3
8,444056E0	4,121688E-3	-1,345811E-3	4,335841E-3
8,460711E0	3,996041E-3	-1,285145E-3	4,197612E-3
