	tracker3
t	x	y	r
3,714056E0	2,374653E-3	-1,805383E-3	2,983016E-3
3,730711E0	1,813018E-3	-1,430960E-3	2,309693E-3
3,747367E0	2,187442E-3	-2,179806E-3	3,088115E-3
3,764022E0	2,295857E-3	-2,157983E-3	3,150849E-3
3,780678E0	2,196652E-3	-2,173077E-3	3,089909E-3
3,897267E0	2,198993E-3	-2,210990E-3	3,118341E-3
3,913922E0	2,300735E-3	-2,182776E-3	3,171418E-3
3,930578E0	2,165858E-3	-2,228591E-3	3,107661E-3
3,947233E0	2,228675E-3	-2,216698E-3	3,143365E-3
3,963889E0	2,284496E-3	-2,175528E-3	3,154655E-3
3,980544E0	2,136077E-3	-2,276245E-3	3,121557E-3
3,997200E0	2,198871E-3	-2,190805E-3	3,103975E-3
4,013856E0	2,266507E-3	-2,201841E-3	3,159930E-3
4,030511E0	1,997384E-3	-2,247033E-3	3,006443E-3
4,047167E0	1,952098E-3	-2,175093E-3	2,922621E-3
4,063822E0	2,065950E-3	-2,223769E-3	3,035342E-3
4,097133E0	2,187442E-3	-2,179806E-3	3,088115E-3
4,113789E0	2,345956E-3	-2,261326E-3	3,258390E-3
4,130444E0	2,193875E-3	-2,236192E-3	3,132673E-3
4,230378E0	2,786273E-3	-2,357626E-3	3,649893E-3
4,247033E0	2,819098E-3	-2,291706E-3	3,633074E-3
4,263689E0	2,887580E-3	-2,803630E-3	4,024731E-3
4,313656E0	2,749077E-3	-2,741441E-3	3,882386E-3
4,346967E0	2,561865E-3	-2,554230E-3	3,617629E-3
4,363622E0	2,561865E-3	-2,741441E-3	3,752153E-3
4,380278E0	2,374653E-3	-1,992595E-3	3,099905E-3
4,430244E0	2,000230E-3	-1,243748E-3	2,355383E-3
4,480211E0	3,310712E-3	8,155805E-4	3,409690E-3
4,530178E0	3,310712E-3	1,938851E-3	3,836659E-3
4,546833E0	3,310712E-3	1,002792E-3	3,459249E-3
4,563489E0	3,123500E-3	2,126062E-3	3,778411E-3
4,580144E0	3,872347E-3	1,190004E-3	4,051071E-3
4,613456E0	3,310712E-3	2,313274E-3	4,038818E-3
4,630111E0	3,310712E-3	1,751639E-3	3,745537E-3
4,646767E0	3,310712E-3	1,564427E-3	3,661727E-3
4,663422E0	2,749077E-3	1,564427E-3	3,163045E-3
4,680078E0	3,310712E-3	1,751639E-3	3,745537E-3
4,713389E0	3,497923E-3	1,377216E-3	3,759281E-3
4,730044E0	4,246770E-3	1,002792E-3	4,363559E-3
4,746700E0	4,059558E-3	6,673382E-5	4,060107E-3
4,763356E0	4,059558E-3	4,411572E-4	4,083459E-3
4,780011E0	4,995617E-3	6,283689E-4	5,034981E-3
4,796667E0	4,621193E-3	6,283689E-4	4,663719E-3
4,829978E0	4,621193E-3	2,539455E-4	4,628166E-3
4,879944E0	4,246770E-3	-1,204779E-4	4,248479E-3
4,913256E0	3,872347E-3	6,673382E-5	3,872922E-3
4,929911E0	4,246770E-3	-1,204779E-4	4,248479E-3
4,946567E0	4,433982E-3	-4,949012E-4	4,461516E-3
4,996533E0	7,429369E-3	-2,367018E-3	7,797326E-3
5,013189E0	6,867734E-3	-1,805383E-3	7,101068E-3
5,046500E0	7,429369E-3	-1,056536E-3	7,504118E-3
5,063156E0	7,054945E-3	-6,821129E-4	7,087844E-3
5,079811E0	6,680522E-3	-1,204779E-4	6,681608E-3
5,096467E0	6,306099E-3	-1,056536E-3	6,393993E-3
5,113122E0	6,867734E-3	-3,076895E-4	6,874623E-3
5,163089E0	7,054945E-3	-1,056536E-3	7,133619E-3
5,179744E0	7,054945E-3	-2,179806E-3	7,384024E-3
5,196400E0	6,867734E-3	-1,992595E-3	7,150958E-3
5,213056E0	6,867734E-3	-6,821129E-4	6,901525E-3
5,229711E0	6,867734E-3	-2,179806E-3	7,205367E-3
5,246367E0	7,054945E-3	-1,618171E-3	7,238144E-3
5,296333E0	7,242157E-3	-2,179806E-3	7,563094E-3
5,312989E0	7,991004E-3	-3,115865E-3	8,576990E-3
5,329644E0	7,991004E-3	-2,554230E-3	8,389293E-3
5,346300E0	7,429369E-3	-2,741441E-3	7,919029E-3
5,379611E0	8,178215E-3	-3,490288E-3	8,891868E-3
5,396267E0	7,429369E-3	-3,490288E-3	8,208388E-3
5,412922E0	7,429369E-3	-3,303076E-3	8,130549E-3
5,429578E0	7,054945E-3	-2,554230E-3	7,503089E-3
5,446233E0	6,493310E-3	-2,928653E-3	7,123208E-3
5,479544E0	7,429369E-3	-1,805383E-3	7,645582E-3
5,496200E0	6,680522E-3	-2,554230E-3	7,152165E-3
5,512856E0	7,054945E-3	-1,618171E-3	7,238144E-3
5,546167E0	5,931675E-3	-2,741441E-3	6,534544E-3
5,562822E0	5,931675E-3	-2,554230E-3	6,458240E-3
5,662756E0	5,744464E-3	-2,179806E-3	6,144137E-3
5,679411E0	5,455997E-3	-2,683464E-3	6,080204E-3
5,696067E0	5,290808E-3	-3,023192E-3	6,093631E-3
5,712722E0	5,482541E-3	-3,134199E-3	6,315177E-3
5,746033E0	5,182828E-3	-2,741441E-3	5,863208E-3
5,779344E0	4,995617E-3	-2,928653E-3	5,790785E-3
5,795900E0	4,808405E-3	-1,805383E-3	5,136163E-3
5,812456E0	5,370040E-3	-2,928653E-3	6,116726E-3
5,829200E0	5,182828E-3	-3,303076E-3	6,145895E-3
5,845944E0	6,118887E-3	-2,367018E-3	6,560758E-3
5,862511E0	5,744464E-3	-2,367018E-3	6,213021E-3
5,895822E0	5,370040E-3	-2,928653E-3	6,116726E-3
5,912567E0	5,385755E-3	-2,960183E-3	6,145652E-3
5,929133E0	5,524529E-3	-2,742678E-3	6,167877E-3
5,945700E0	6,118887E-3	-3,303076E-3	6,953495E-3
5,962444E0	6,118887E-3	-2,179806E-3	6,495563E-3
5,979189E0	6,493310E-3	-2,367018E-3	6,911284E-3
5,995756E0	5,931675E-3	-2,367018E-3	6,386513E-3
6,012322E0	5,931675E-3	-2,554230E-3	6,458240E-3
6,029067E0	5,557252E-3	-2,367018E-3	6,040350E-3
6,045711E0	5,557252E-3	-1,805383E-3	5,843155E-3
